,FamilyName,FamilyNameDescription,GeneralGenusAndDescription,Genus,Epithet,LebanonLocations,SyrianLocations
0,0,0,0,0,0,0,0
1,0,0,"LAURUS L. — Fleurs ttttJïques, en ombelles, enveloppées au début de lafloraison par des bractées cucullées, vite caduques. Périanthe formé de 4 partiesseulement, plus ou moins caduques. Étamines des fleurs 8-12, sur plusieursrangs, à filaments glanduleux dans leur milieu. Fleurs à 4 étamines avortées etun pistil à un seul ovule et un seul stigmate. Fruit constitué par une baie portéepar le disque du réceptacle.",0,0,0,0
2,BERBERIDACEAE,"Herbes} souvent pourvues de tubercules, ou arbustes. Feuilles habituellementsans stipules, simples ou composées, parfois partiellement transformées en épines.Fbre '- i2 NOUVELLE FI<OSE-Fleurs solitaires ou en grappes, régulières. Enveloppes florales plus ou moirjs dif-férenciées en calice et corolle, 2 ou 2 -mères, en un ou plusieurs pseudo-cyeles.Étamines en 2 pseudo-verticilles. Anthères à déhiscence par clapets ou par Fentes.Pistil à carpelle unique ou à carpelles soudés. Fruits de forme variée, baies, folli-cules, akènes.BERBERIS L. — Plantes ligneuses à feuilles simples, transformées partielle-ment en épines simples, bifurquées ou trifurquées. Fleurs à calice de 6> sépalespétaloides, concaves, biglanduleux à leur base interne. Étamines 6, irritables,s'ouvrant, par clapets. Fruit constitué par une baie à 2 Ou 3 graines placées versla base. ' ' 'Berbéris libanotica Ehrenb. — B. critica Auct. non (PL I, n. 2). —S. Arbrisseau à branches entièrement ligneuse 15-50 cm. Tiges dressées. Ra-meaux étalés-dressés, rougeâtres ou noirâtres, portant, à intervalles rapprochés, defortes épines jaunes, souvent trifurquées, plus longues qu£ le bouquet de feuillesinséré à leurs aisselles. Ces feuilles sont glabres, elliptiques-lancéolées, non >étioléesmais longuement atténuées à la base, longues de 1-1 cm., larges de 3-5 mm., àmarges très légèrement repliées, entières, d'un vert plus vif à la face supérieure,fortement innerviées. Inflorescence n petites grappes ne dépassant pas les feuilles.Pédicelles pourvus à la base d'une bractée triangulaire. Périanthe à 6 sépalespétaloides, 4-5 mm. de diam., jaunes, un peu cucullés. Étamines 6, à anthèresovales, courtes, s'ouvrant par clapets. Ovaire surmonté d'urv épais stigmate sessile.Fruits une baie ovale, noirâtre, surmontée du stigmate persistant.Tenue pour spécifiquement distincte de B. cretiea^h. par C. SCHNEIDER et la plupart desbotanistes à sa suite, elle en est cependant très prociie 'et, selon MM. CULLEN et J. E/ COOLE,ne s'en sépare guère que par l'absence de stomates à la face supérieure -des feuilles (Flora of Turkey,éd. P.H. DAVIS, Volume I, p. 210).Floraison: mai-juin. En abondance sur les pentes du Liban et de l'Anti-Liban, entre 1400<ţt 2000 m.L. Mm. Pentes ouest du Liban, aux altitudes ci-dessus indiquées, du Jabal Barouk a¾kjabalQamou'a ou même plus au nord, dans le 'A kar libanais. Ve. Contrepente l anaise, aux mêmesniveaux, de 'Ammiq à 'Ainata et au-delà. A.L. Mêmes altitudes, sur la pente ouest, mais enmoindre fréquence. Herm. Manque sur les pentes dominant Rachaya. GAIIXARDOT l'avait cependant,semble-t-il, trouvée à Gheba'a.S. AJL. Hauteurs de l'Anti-Liban syrien (Pb).",0,0,0,0,0
3,0,0,0,Bongardia,chrysogonum,0,0
4,0,0,LEONTICE L. — Plante herbacée à rhizome épais et tige feuiilée.,0,0,0,0
5,PAEONIACEAE,"Herbes vivaces ou arbustes. Feuilles alternes, sans stipules. Fleurs isolées, her-maphrodites, actinomorphes, hypogynes. Sépales au nombre de 5, libres. Pétales5, 10 ou jusqu'à 13. Étamines nombreuses. Carpelles 2-8, distincts, insérés sur undisque charnu. Fruit formé par des follicules au nombre de 2-8, à plusieurs graines.Famille souvent rattachée aux Ranuncuïaceae, ou encore aux Berberidaceae.",0,0,0,0,0
6,0,0,0,Paeonia,mascula,0,0
7,0,0,0,0,0,"L. Mi. Ma'asser (P), Feitroun (JL, Vt, Mt), Mayrouba (Np), Rayfoun (P). Mm. 'Aqoura(JL), Sannine (Vt), Mazra'at Kfar Debiane (Moubarak), Qamou'a (Sam, Hafstr). 'Akkar.«Akkar (Np).",0
8,0,0,0,Paeonia,kesrouanensis,0,0
9,0,0,0,0,0,"L. Mi. Feitroun (Thiébaut), au-dessus de 'Aramoun (Gaill. dans Boiss., FI. Or. Suppl., classéP. corallina, forma leiocarpa), Rayfoun (Sam, sous mascula), Ra'chine (Bertschinger), entre 'Aramounet Ghahtoul, au-dessus de Hayat (Mt. Kp), Mayrouba (Np), Chahtoul (Fattal). Mm. Qamou'a(Mt).",0
